feeder,qu_deadband_pct,qu_response_tau_s,oltc_deadband_pct,oltc_delay_s,total_tap_ops,warmup_tap_ops,taps_per_day,curtailment_mvarh,sim_hours,tap_ops_reg1,tap_ops_reg2,tap_ops_reg3,wall_seconds,seed
ieee13,0.0,1.0,1.0,45.0,0,0,0.0,0.003895621569457266,0.9163888888888879,0,0,0,0.822770357131958,42
ieee13,0.0,10.0,1.0,45.0,0,0,0.0,0.0040435624392624265,0.9163888888888879,0,0,0,0.8104002475738525,42
ieee13,0.0,30.0,1.0,45.0,0,0,0.0,0.004200122229117221,0.9163888888888879,0,0,0,0.8527014255523682,42
ieee13,0.0,60.0,1.0,45.0,1,0,26.18975447105186,0.004501618359036673,0.9163888888888879,1,0,0,0.8624978065490723,42
ieee13,1.0,1.0,1.0,45.0,1,0,26.18975447105186,0.001434648417268513,0.9163888888888879,1,0,0,0.8132426738739014,42
ieee13,1.0,10.0,1.0,45.0,1,0,26.18975447105186,0.0017135773957198408,0.9163888888888879,1,0,0,0.8659255504608154,42
ieee13,1.0,30.0,1.0,45.0,1,0,26.18975447105186,0.0020498525682284877,0.9163888888888879,1,0,0,0.7570095062255859,42
ieee13,1.0,60.0,1.0,45.0,1,0,26.18975447105186,0.002287653910800677,0.9163888888888879,1,0,0,0.9192543029785156,42
ieee13,2.0,1.0,1.0,45.0,1,0,26.18975447105186,0.00029941098769712673,0.9163888888888879,1,0,0,0.7397904396057129,42
ieee13,2.0,10.0,1.0,45.0,1,0,26.18975447105186,0.00043270689802015025,0.9163888888888879,1,0,0,0.7843375205993652,42
ieee13,2.0,30.0,1.0,45.0,1,0,26.18975447105186,0.0005945796041302486,0.9163888888888879,1,0,0,0.7900905609130859,42
ieee13,2.0,60.0,1.0,45.0,1,0,26.18975447105186,0.0007328860764147839,0.9163888888888879,1,0,0,0.8356781005859375,42
ieee13,3.0,1.0,1.0,45.0,1,0,26.18975447105186,2.0588553161936414e-07,0.9163888888888879,1,0,0,0.8853340148925781,42
ieee13,3.0,10.0,1.0,45.0,1,0,26.18975447105186,2.5289989336132126e-07,0.9163888888888879,1,0,0,0.8991193771362305,42
ieee13,3.0,30.0,1.0,45.0,1,0,26.18975447105186,2.7094048098291197e-07,0.9163888888888879,1,0,0,0.8954939842224121,42
ieee13,3.0,60.0,1.0,45.0,1,0,26.18975447105186,2.764913288184515e-07,0.9163888888888879,1,0,0,0.9633979797363281,42
