t_hours,pv_pu,tap_ops_this_step,v_pu_regulator_adjacent,v_pu_midpoint,v_pu_end_of_feeder
8.0,0.3986880268443922,0,0.9999797412220603,1.0203508553134955,1.0045315187421726
8.000277777777777,0.39874921805318886,0,0.9999801865542487,1.0204355638313756,1.004736808730762
8.000555555555556,0.3988104086708158,0,0.9999803021208072,1.0204576450168872,1.004792086898721
8.000833333333333,0.3988715986966711,0,0.9999803302280403,1.0204630522754077,1.0048062940195739
8.001111111111111,0.3989327881301543,0,0.9999803376336575,1.0204645195230282,1.0048102617688066
8.001388888888888,0.3989939769706634,0,0.9999803382678477,1.0204646700878786,1.0048108993954976
8.001666666666667,0.3990551652175982,0,0.9999803399278903,1.0204650285413959,1.0048116164775511
8.001944444444444,0.39911635287035685,0,0.9999803409083062,1.0204652472345506,1.0048119503363246
8.002222222222223,0.3991775399283392,0,0.9999803419178447,1.0204654691936892,1.004812252856801
8.0025,0.39923872639094354,0,0.9999803430955438,1.0204657233226007,1.0048126097943821
8.002777777777778,0.39929991225756967,0,0.9999803443891996,1.0204659999970926,1.0048130106030593
8.003055555555555,0.39936109752761617,0,0.9999803457365967,1.0204662871994303,1.004813432992931
8.003333333333334,0.39942228220048304,0,0.9999803471032545,1.0204665781987163,1.0048138634684813
8.00361111111111,0.3994834662755688,0,0.999980348475319,1.0204668702716508,1.0048142963401576
8.00388888888889,0.39954464975227355,0,0.9999803498484745,1.020467162563986,1.0048147297508867
8.004166666666666,0.3996058326299961,0,0.9999803512217144,1.0204674548749135,1.0048151632349847
8.004444444444445,0.39966701490813655,0,0.9999803525949016,1.0204677471764736,1.004815596713675
8.004722222222222,0.3997281965860938,0,0.9999803539680464,1.0204680394707364,1.0048160301840026
8.005,0.3997893776632682,0,0.9999803553411605,1.0204683317601695,1.004816463648959
8.005277777777778,0.3998505581390586,0,0.9999803567142472,1.020468624045347,1.0048168971092357
8.005555555555556,0.39991173801286556,0,0.9999803580873058,1.0204689163261838,1.0048173305645867
8.005833333333333,0.39997291728408807,0,0.9999803594603355,1.0204692086025553,1.0048177640147709
8.00611111111111,0.4000340959521263,0,0.9999803608333361,1.02046950087441,1.0048181974597017
8.006388888888889,0.4000952740163806,0,0.9999803622063078,1.0204697931417381,1.0048186308993696
8.006666666666666,0.4001564514762501,0,0.9999803635792502,1.0204700854045397,1.004819064333783
8.006944444444445,0.40021762833113567,0,0.999980364952164,1.0204703776628168,1.0048194977629494
8.007222222222222,0.4002788045804365,0,0.9999803663250487,1.020470669916569,1.0048199311868697
8.0075,0.4003399802235536,0,0.9999803676979043,1.0204709621657952,1.004820364605542
8.007777777777777,0.4004011552598863,0,0.9999803690707306,1.0204712544104926,1.0048207980189636
8.008055555555556,0.40046232968883555,0,0.999980370443528,1.0204715466506595,1.0048212314271323
8.008333333333333,0.4005235035098011,0,0.9999803718162964,1.0204718388862941,1.004821664830045
8.008611111111112,0.40058467672218395,0,0.9999803731890357,1.0204721311173934,1.0048220982276976
8.008888888888889,0.4006458493253836,0,0.9999803745617463,1.0204724233439564,1.0048225316200887
8.009166666666667,0.40070702131880154,0,0.9999803759344271,1.0204727155659803,1.0048229650072138
8.009444444444444,0.4007681927018374,0,0.9999803773070791,1.0204730077834634,1.0048233983890709
8.009722222222223,0.40082936347389253,0,0.999980378679702,1.020473299996403,1.0048238317656568
8.01,0.4008905336343669,0,0.9999803800522958,1.0204735922047974,1.0048242651369683
8.010277777777778,0.40095170318266193,0,0.9999803814248606,1.0204738844086445,1.004824698503003
8.010555555555555,0.4010128721181776,0,0.9999803827973962,1.020474176607942,1.0048251318637567
8.010833333333334,0.40107404044031547,0,0.9999803841699025,1.0204744688026883,1.0048255652192275
8.011111111111111,0.4011352081484757,0,0.9999803855423798,1.0204747609928804,1.0048259985694121
8.011388888888888,0.40119637524205953,0,0.9999803869148277,1.0204750531785172,1.0048264319143076
8.011666666666667,0.40125754172046846,0,0.9999803882872467,1.0204753453595965,1.0048268652539114
